Item_Number,Main_Category,Sub_Category,Product_Name,Main_Ingredient,Reviews_Count,Ratings_out_of_5,Sizes_Available,Sizes,Prices,Short_Description,Long_Description
ITEM 94162,Body,body butter,Vitamin E Nourishing Body Butter,Shea,275,4.76,1,['6.7 Ounce'],['$12.00'],"Our Vitamin E Body Butter is an intensive, creamy all-over body moisturizer containing Vitamin E, Community Trade shea butter, and cocoa butter. It absorbs easily, helping to condition, soften and smooth the skin, leaving your skin moisturized for up to 24 hours.","['24-hour hydration ', 'With protective Vitamin E ', 'Great for all skin types ', 'Neutral scent ', 'Enriched with Community Trade cocoa butter']"
ITEM 94319,Body,body butter,Satsuma Body Butter,Satsuma,424,4.55,3,"['1.69 Ounce', '6.7 Ounce', '13.5 Ounce']","['$4.50', '$12.00', '$27.00']","Our deliciously fresh and fruity body butter will melt into your skin, for around-the-clock moisture. Reveal silkier-softer skin after every use.","['Body Moisturizer ', '24hr hydration ', 'Suitable for normal to dry skin ', 'Satsuma oil from Argentina ', 'Zesty satsuma scent ', 'Enriched with community trade Cocoa from Ghana ', 'Enriched with community trade Soya from Brazil']"
ITEM 94168,Body,body butter,Strawberry Body Butter,NA,279,4.74,3,"['1.69 Ounce', '6.7 Ounce', '13.5 Ounce']","['$4.50', '$12.00', '$27.00']","Our deliciously fruity Strawberry Body Butter will melt into your skin, for an intensely moisturizing experience. Reveal silkier-softer, strawberry scented skin after every use.","['Body butter ', 'Nourishes skin ', 'For dry skin ', 'Skin is left feeling softer & more supple ', 'Easily absorbed ', 'Sweet strawberry scent ', 'Cold-pressed strawberry seed oil']"
ITEM 94311,Body,body butter,Aloe Soothing Body Butter,Aloe Vera,216,4.84,1,['6.7 Ounce'],['$12.00'],"Our intensely soothing aloe butter will melt into your skin, for a richly hydrating experience. Reveal softer, fresher skin and around the clock moisture after each use.","['Formulated for sensitive skin ', 'No added fragrance, color or alcohol ', 'Formulated without preservatives ', 'Enriched with community trade Aloe Vera from Mexico']"
ITEM 94320,Body,body butter,Hemp Heavy-Duty Body Moisture Protector,Hemp,297,4.54,1,['6.75 Ounce'],['$12.00'],"Our solid cream instantly melts onto the skin, for intense hydration and increased protection. Infused with rich hemp seed oil, packed with essential fatty acids, this nourishing formula will leave your skin beautifully soft and supple.","[' Body moisturizer ', '96 hour hydration & protection ', 'Restores moisture and helps protect ultra dry skin ', 'Essential fatty acids, Omega 3, 6 and 9 ', 'Dermatologically tested ', 'Enriched with community trade Hemp from France ', 'Enriched with community trade Soya from Brazil']"
ITEM 97409,Body,body butter,Mango Body Butter,NA,308,4.76,3,"['1.69 Ounce', '6.7 Ounce', '13.5 Ounce']","['$4.50', '$12.00', '$27.00']",Our super-rich and creamy Body Butter is a feast for the skin. It melts straight in to leave skin feeling soft and smooth. It contains Community Trade cocoa butter and has an exotic mango scent.,"['Body moisturizer ', 'For dry skin ', '24hr hydration ', 'Mango seed oil ', 'Sweet, tropical scent ', 'Absorbs easily ', 'Enriched with community trade Cocoa from Ghana']"
ITEM 94190,Body,body butter,Fuji Green Tea™ Body Butter,Green Tea,134,4.64,2,"['1.72 Ounce', '6.7 Ounce']","['$4.50', '$12.00']","Smooth on replenishing hydration, detoxing body and soul, with the crisp and refreshing scent of Fuji Green Tea™ Body Butter.","['Replenishing Body Butter', '24-hour replenishing moisture for normal to dry skin', 'Lightweight texture', 'With revitalizing green tea from Japan', 'For healthier feeling skin', 'Enriched with Community Trade Shea Butter from Ghana', ' Enriched with community trade  Brazil Nut from Peru', ' Enriched with community trade  Soya from Brazil']"
ITEM 97419,Body,body butter,Moringa Body Butter,Moringa,198,4.58,3,"['1.69 Ounce', '6.7 Ounce', '13.5 Ounce']","['$4.50', '$12.00', '$27.00']","Dip into Moringa Body Butter for a sublimely nourishing treat. Enriched with handpicked moringa seed oil, your skin will feel more soft and supple after every use.","[' Body moisturizer ', 'Moisturizes for 24h hydration ', 'Nourishes skin ', 'For dry skin ', 'Skin is left feeling softer & more supple ', 'Easily absorbed ', 'Fresh, green floral scent ', 'Enriched with community trade Cocoa from Ghana']"
ITEM 94188,Body,body butter,Wild Argan Oil Body Butter,Wild Argan,242,4.66,3,"['1.69 Ounce', '6.75 Ounce', '13.5 Ounce']","['$4.50', '$12.00', '$27.00']","Transport the hammam environment to your bathroom and give your skin a dose of ultra-rich hydration, when you apply this nourishing Wild Argan Oil Body Butter. With 48hr moisturizing properties, your skin will stay softer for longer.","['Suitable for very dry skin ', 'Subtle, sophisticated, warming scent ', '48hr hydration ', 'Community Trade argan oil from Morocco ', 'Enriched with community trade Babassu Oil from Brazil']"
ITEM 96951,Body,Lotion and Cream,White Musk® Body Lotion,Babassu,61,4.4,2,"['8.4 FL OZ', '13.5 FL OZ']","['$12.38', '$16.50']","This lovely lotion leaves your skin feeling silky-soft and scented with our iconic, delicate, floral White Musk® fragrance. Layer with other White Musk® products to build the fragrance.","['Body lotion', 'Iconic  White Musk®  scent', 'Cruelty-free musk']"
ITEM 96136,Body,Lotion and Cream,Satsuma Body Lotion,Satsuma,75,4.13,2,"['8.4 FL OZ', '2 FL OZ']","['$9.75', '$4.50']","Full of satsuma essential oil and Community Trade Shea Butter, our softening Satsuma Body Lotion will hydrate and nourish your skin. Your skin will be wrapped in moisture, with a sweet fruity scent.","['Body lotion', 'Hydrates skin', '24hr moisture', 'Quickly absorbed', 'Community Trade Shea Butter from Ghana']"
ITEM 94169,Body,body butter,Pink Grapefruit Body Butter,NA,236,4.72,2,"['6.7 Ounce', '13.5 Ounce']","['$12.00', '$27.00']","Our deliciously zesty Pink Grapefruit Body Butter will melt into your skin, for around the clock moisture. Reveal a more silky-soft skin after every use.","['Body moisturizer', 'Lightly moisturizes (24h hydration)', 'Nourishes skin', 'For normal to dry skin', 'Skin is left feeling softer, and suppler', 'Easily absorbed', 'Refreshing, zesty scent', ' Enriched with community trade  Cocoa from Ghana']"
ITEM 91407,Body,Lotion and Cream,Spa of the World™ Ethiopian Green Coffee Cream,Olive,33,4.69,2,"['1.69 Ounce', '12 Ounce']","['$4.50', '$27.00']","Our new firming body cream is enriched with organic Ethiopian green coffee and helps skin feel firmer and smoother. It is hand-harvested from the beautiful Kaffa region, known around the world as ‘the home of coffee’, where coffee drinking plays a huge part in traditional Ethiopian culture. Our silky soft cream, enriched with caffeine, known for its stimulating properties, effortlessly melts into the skin when massaged, leaving skin feeling firmer and smoother. Use as part of our Spa of the World™ Firming Ritual.","['Effortlessly melts into skin when massaged to help skin feel firmer and smoother', 'Enriched with Ethiopian green coffee and Community Trade olive oil from Italy', '100% Vegetarian', '86% agreed that skin looks and feels firmer (User trial on 100 women after 4 weeks) ', 'Learn more about how to unwind with our 8 Relaxation Techniques', 'Enjoy the Firming Ritual Spa Routine by using the Ethiopian Green Coffee Cream with  French Grape Seed Scrub,  Thai Makrut Lime Firming Oil  and Thai Wooden Massager']"
ITEM 91047,Body,Lotion and Cream,Moringa Body Milk,Moringa,56,4.67,2,"['2 FL OZ', '8.4 FL OZ']","['$4.50', '$9.75']","Lightweight yet incredibly softening, our Moringa Body Milk is a lightweight lotion that is the perfect complement to your bodycare routine. Your skin will feel smoother, nourished and more silky-soft to the touch.","['Body milk', 'Moisturizes for 24hr hydration', 'For dry skin', 'Light, milky texture', 'Quickly absorbed', 'Leaves skin feeling softer and hydrated', 'Fresh, green floral scent', 'Seed oil from hand-picked moringa pods']"
