Item_Number,Main_Category,Sub_Category,Product_Name,Main_Ingredient,Reviews_Count,Ratings_out_of_5,Sizes_Available,Sizes,Prices,Short_Description,Long_Description
ITEM 89059,Collection,Expert Facial Masks,Nicaraguan Coffee Intense Awakening Mask,Sesame Oil,28,4.82,1,['2.6 Ounce'],['$28.00'],"Give your skin an energy kick with our richly textured Nicaraguan Coffee Intense Awakening Mask. Enriched with a powerful blend of coffee bean particles from Nicaragua and Community Trade ingredients from around the world, this mask warms and gently exfoliates your skin to help reduce the signs of fatigue. This leaves skin feeling awakened, cleared of impurities and looking more radiant and pores looking refined.","['Warming and energizing face mask ', 'For skin that looks dull, uneven and rough  ', 'Helps reduce the signs of fatigue so skin feels awakened, cleared of impurities and looks more radiant and pores look refined ', 'Rich exfoliating texture ', 'Intense coffee scent ', 'Enriched with coffee and Community Trade Sesame Seed Oil from Nicaragua, Community Trade Cocoa Butter and Shea Butter from Ghana and organic Community Trade Cane Sugar from Paraguay']"
ITEM 89009,Skin Care,Sheet Masks,Vitamin E Quench Sheet Mask,Aloe Vera,5,4,1,['0.6 FL OZ'],['$6.00'],"Hydrate thirsty skin in just 15 minutes with our Vitamin E Sheet Mask. Enriched with Community Trade organic aloe vera, natural-origin hyaluronic acid and wheatgerm oil, this mask locks in 24hr hydration and leaves skin feeling instantly softer, smoother and re-plumped with moisture.","['Biodegradable sheet (not including packaging)', 'Hydrating single-use Vitamin E sheet mask', 'Suitable for all  skin types ', 'Skin feels hydrated, softer and smoother', '24hr hydration', 'Easy to use for instant results', 'Enriched with natural-origin  hyaluronic acid from France, wheatgerm oil and Community Trade organic  aloe vera from Mexico']"
ITEM 89011,Skin Care,Sheet Masks,Seaweed Balance Sheet Mask,Aloe Vera,2,3.5,1,['0.6 FL OZ'],['$6.00'],"Mattify and hydrate oily and combination skin in just 15 minutes with our vegan Seaweed Sheet Mask. Enriched with cucumber extract, mineral-rich seaweed and Community Trade organic aloe vera, this mask locks in 24hr hydration and leaves skin feeling instantly refreshed and mattified.","[' Vegan ', 'Biodegradable sheet (not including packaging)', 'Hydrating single-use sheet mask', 'Formulated for  oily  combination skin ']"
ITEM 97281,Skin Care,Face Masks,Japanese Matcha Tea Pollution Clearing Mask Packette,Green Tea,16,4.5,1,['0.19 Ounce'],['$1.88'],"Enriched with matcha green tea from Kakegawa, Japan, dandelion extract and soul-soothing Community Trade aloe vera from Mexico, our indulgently creamy, 100% vegan masking formula deeply purifies, gently exfoliates and  liberates your skin from the weekly build-up of city pollutants and everyday impurities.","['Helps remove pollutants and impurities', 'Reveals radiant, younger-looking skin', 'Enriched with matcha green tea from Japan and organic Community Trade aloe vera from Mexico', '100% vegan', '91% of women agreed pollution felt removed from their skin (based on trial results from 103 women)', 'Formulated without silicones, mineral oil or paraffins']"
ITEM 94740,Makeup,Lip Balm,Hemp Heavy Duty Lip Care,Hemp,191,4.69,1,['0.15 Ounce'],['$6.00'],"Packed with hemp seed oil to soothe and hydrate, our heavy-duty lip care helps to protect your lips by providing nourishment.","['Lip care', 'Nourishing and softening', 'For ultra dry lips', 'Gives lips a light natural-looking sheen', 'Infused with hemp seed oil, rich in essential fatty acids', 'Dermatologically tested', ' Enriched with community trade  Hemp from France']"
ITEM 95706,Skin Care,Eye Care,Vitamin E Eye Cream,Rosehip Oil,83,4.38,1,['0.5 FL OZ'],['$14.62'],"This moisturizing eye cream hydrates, smoothes and protects the delicate skin around the eye.","['Hydrates skin in the eye area', 'Reduces the appearance of fine lines', 'Leaves skin feeling soft and smooth', 'Gentle massage helps reduce puffiness', ' Enriched with community trade  Rosehip Oil  from Chile']"
ITEM 83676,Makeup,Lip Balm,Mango Lip Butter,Mango Seed Oil,72,4.19,2,"['0.34 FL OZ', '0.34 FL OZ']","['$4.50', '$4.50']","Treat your lips to our beautifully buttery Mango Lip Butter. The rich texture moisturizes lips and leaves them looking healthier and suppler. With Community Trade mango seed oil from India, the lip butter has a lusciously juicy mango scent and leaves a subtle, clear shine.","['Nourishing, rich butter texture  ', 'Moisturizes and instantly soothes lips  ', 'Relieves and protects lips from dryness  ', 'Lips feel softer, smoother and more supple  ', 'Leaves a subtle shine with no color   ', 'Punchy mango scent   ', 'Enriched with Community Trade mango seed oil from India']"
ITEM 96108,Skin Care,Eye Care,Vitamin E Refreshing Eyes Cube,Soya,46,4.41,1,['0.14 Ounce'],['$11.25'],"A refreshing anti-fatique eye stick with protective vitamin E and wheatgerm oil. A gentle, easy-glide application that moisturizes  cools and instantly revives the appearance of tired eyes. Formulated with protective vitamin E and moisturizing wheatgerm oil. Use as part of your personalised skincare programme.","['Suitable for all skin types', 'Contains Community Trade soya oil from Brazil', 'Instantly moisturizing', 'Refreshes the appearance of tired-looking eyes', 'Easy-glide touch-free applicator', 'Ideal for travel']"
ITEM 78327,Skin Care,NA,Drops of Youth™ Youth Bouncy Eye Mask,Edelweiss Stem Cells,33,4.36,1,['0.6 FL OZ'],['$24.00'],"Enriched with cucumber extract and plant stem cells, our Youth Bouncy Eye Mask can be applied to instantly give tired eyes a powernap*, or used as an overnight mask to wake up with skin that looks younger and feels healthier. This refreshing, non-sticky formula helps address the first signs of ageing to help skin bounce back to a more youthful appearance. ","['100% vegetarian', ' Bouncy, memory-shape texture', 'Enriched with Cucumber Extract and Community Trade organic  Babassu Oil  from Brazil', 'With 3 plant stem cells:  Edelweiss   from the Italian alps,  Criste Marine  and  Sea Holly  from the Brittany Coast', 'Instantly cools down skin around your eyes by 2.7°F*', 'Skin feels replenished and appears healthier**', 'Dermatologically & Ophthalmologically tested', 'Formulated without mineral oil, paraffin and petrolatum *Clinical test on 24 women*The product helps to depuff bag under eyes, signs of fatigue appear reduced, dark circle under my eyes are faded**Self-assessment on 50 women']"
ITEM 94132,Makeup,Lip Balm,Born Lippy™ Lip Balm Pot - Strawberry,Beeswax,51,4.5,1,['0.33 Ounce'],['$4.50'],Instantly hydrate and soften your lips with this fruity lip butter. Full of sweetly scented strawberry seed oil it will keep you coming back for more.,"['Lip butter', 'Nourishes & softens lips', 'Gives lips a light, natural-looking sheen', 'Leaves lips soft and smooth', 'Delicious fruity scent', 'Cold-pressed strawberry seed oil']"
ITEM 96019,Makeup,Lip Balm,Lip Exfoliator,Marula,98,3.7,1,['0.14 Ounce'],['$9.38'],"Buff your lips beautiful with our smoothing, exfoliating and nourishing Lip Exfoliator. This handy stick gently buffs away dead skin cells to reveal softer, moisturized lips.","['Lip Scuff', 'Exfoliates', 'Moisturizes', 'Smoothes and refines']"
ITEM 95703,Skin Care,Eye Care,Drops of Youth™ Eye Concentrate,Edelweiss Stem Cells,166,4.37,1,['0.33 FL OZ'],['$24.00'],"Refresh and awaken your eye area with our innovative eye concentrate. Enriched with edelweiss plant stem cells, our unique  applicator instantly refreshes the eye contour and smoothes the appearance of lines, bags and fatigue for younger-looking eyes.","['100% vegan', ' Appearance of eye bags seems reduced & eyes appear less tired. 84% of users said skin looked smoother after four weeks*', ' Silicone & Paraben Free ', 'Innovative cooling roller ball pump applicator', 'Partner with Drops of Youth™ Youth Concentrate as a part of the Drops of Youth™ routine', 'Enriched with  Edelweiss Stem Cells that possess renowned skin renewal properties   *Based on a commissioned study of 106 women']"
ITEM 94308,Makeup,Lip Balm,Coconut Lip Butter,Coconut,33,4.09,1,['0.29 Ounce'],['$4.50'],"Go nuts for our creamy Coconut Lip Butter. The rich buttery texture helps lips feel softer and suppler, while protecting from dryness. Enriched with Community Trade organic coconut oil from Samoa, the Lip Butter has a dreamy tropical scent and leaves a subtle, clear shine.","['Vegan ', 'Nourishing, rich butter texture  ', 'Moisturizes and instantly soothes lips  ', 'Relieves and protects lips from dryness  ', 'Lips feel softer, smoother and more supple  ', 'Leaves a subtle shine with no color   ', 'Subtle coconut scent   ', 'Enriched with Community Trade organic coconut oil from Samoa']"
ITEM 94354,Skin Care,Eye Care,Oils Of Life™ Eye Cream Gel,Black Cumin Seed Oil,50,4.4,1,['0.69 Ounce'],['$24.00'],"The ultra-light and smoothing eye cream-gel feels fresh upon application and melts onto skin. Infused with three precious seed oils, eye contours are visibly revitalized and look more radiant. Signs of ageing appear reduced,  wrinkles appear smoothed, dark circles look visibly faded and bags appear depuffed. ","['Instantly illuminates, reduces dark circles and smoothes fine lines and wrinkles', 'Contains illuminating micro-pearls which instantly enlighten the eye area and help to disguise dark circles', '  Black Cumin Seed Oil from Egypt contains high levels of antioxidants,  Rosehip Oil from Chile is rich in omega 3 and 6, and  Camellia Seed Oil from China which contains a high concentration of oleic acid to hydrate skin', 'Enriched with Community Trade organic olive oil from Italy', 'Caffeine, which is known to effectively stimulate and reduce fatigue ', 'Eye contour looks smoother (100% agree*)', 'Eye contour looks more luminious (96% agree*)', ' Dark circles appear faded (90% agree*)', 'Wrinkles appear smoother  (87% agree**)', 'Suitable for all skin types, and skin lacking nourishment and radiance ', '* Self-assesment 50 women', '** Self-assesment 100 women']"
ITEM 97175,Makeup,Lip Balm,Lip Juicers,Shea,20,3.8,5,"['0.14 Ounce', '0.14 Ounce', '0.14 Ounce', '0.14 Ounce', '0.14 Ounce']","['$7.50', '$7.50', '$7.50', '$7.50', '$7.50']","Get fruity with these 100% vegetarian, moisture-boosting lip juicers. Scented with irresistible smoothie-inspired combinations, those lip balms are perfect for summer. With blends of naturally derived extracts and five mouth-watering fragrances, our Lip Juicers easily glide onto your lips for a smooth, soft and soothing finish. These super-cute lip balms are perfect carrying with you everywhere you go.","['100% Vegetarian Lip Juicers', ' Lip moisturizer with naturally derived extracts', ' Summer lip balm with 5 Collectable Shades', '5 mouth-watering fragrances: Strawberry, Pomegranate & Aloe; Raspberry, Beetroot & Ginger; Kiwi, Kale & Watermelon; Acai, Blueberry & Dragon Fruit; Coconut, Passionfruit & Carrot', ' Community Trade  shea butter,  marula oil  and ']"
ITEM 93612,Skin Care,Accessories,Aqua Eye Mask,Aloe Vera,28,4.46,1,['1 Piece'],['$6.00'],"Best if you want to: Get the ultimate relief for sore, tired eyes. Features: The mask can cooled to reduce puffiness around the eyes. When warmed, the mask is ideal for spreading warmth for a relaxing, soothing treat for your face.",['Soothing Eye Mask']
ITEM 96575,Makeup,Lip Balm,Moisturizing Lip Care Stick,Marula,56,4.32,1,['0.14 Ounce'],['$10.50'],"Pick up our highly nourishing lipcare stick for silky-smooth, conditioned lips. This balm softens and hydrates. Pop in your handbag for a slick of on-the-go moisture.","['Lip balm', 'Moisturizes', 'Smooth texture', 'Softens and moisturizes']"
ITEM 91597,Makeup,Lip Balm,Pink Grapefruit Lip Butter,Shea,36,3.86,1,['0.3 FL OZ'],['$4.50'],"Wake up your lips with our deliciously sweet and zesty Pink Grapefruit Lip Butter. In a rich, buttery texture, it moisturizes lips to leave them feeling softer, smoother and suppler. Apply whenever you need a moisturizing hit to protect lips from dryness, and get a subtle, clear shine.","['Vegan ', 'Nourishing, rich butter texture  ', 'Moisturizes and instantly soothes lips  ', 'Relieves and protects lips from dryness  ', 'Lips feel softer, smoother and more supple  ', 'Leaves a subtle shine with no color   ', 'Vibrant, zesty grapefruit scent   ', 'Enriched with Community Trade handcrafted shea butter from Ghana']"
ITEM 96537,Skin Care,Eye Care,Aloe Soothing Eye & Lip Contour Care,Aloe Vera,16,4.31,1,['0.5 FL OZ'],['$14.25'],"Newly reformulated, gentle soothing gel-cream for eye and lip contours, and lips. Brings relief through a hydrating and cooling effect and reduces signs of sensitive skin. Hydrates and helps protect against irritation caused by dryness. Enriched with organic Community Trade aloe vera from Campeche, Mexico. 
Specially formulated for sensitive, dry skin. Formulated without alcohol, colorants, fragrance, preservatives.","['Soothing eye and lip contour care', 'Hydrates, comforts, soothes', 'Easily absorbed and gentle', 'With Community Trade organic aloe vera from Campeche, Mexico', 'Ophthalmologically and dermatologically tested', 'Suitable for contact lens wearers']"
ITEM 96910,Makeup,Lip Balm,Vitamin E Lip Care Stick SPF 15,Olive,97,4.1,1,['0.15 Ounce'],['$6.75'],Try our Vitamin E Lip Care Stick SPF 15 Loaded with both vitamin E and vanilla flavor. Slip it on under your lipstick or wear it alone to protect your pout.,"['Hydrates and protects', 'Soothes dry lips', 'With SPF 15', 'Learn more about the importance of sun protection']"
ITEM 81949,Hair,Conditioner,Ginger Scalp Care Conditioner,Aloe Vera,55,4.6,2,"['8.5 FL OZ', '13.5 FL OZ']","['$8.25', '$12.00']","Blended with ginger essential oil from Sri Lanka, birch bark, white willow extracts and Community Trade organic aloe vera, our lightweight Ginger Scalp Care Conditioner gently soothes the scalp and strengthens weak locks. Use with our iconic Ginger Scalp Care Shampoo for optimum results.","['Conditioner  for dry scalp and weak hair ', 'Pairs perfectly with our iconic Ginger Shampoo', 'Enriched with Community   Trade organic aloe vera', '100% vegan  conditioner ', 'Suitable for sensitive scalp ', 'Scalp looks and   feels healthier (85% agree*) ', 'Scalp feels soothed and rebalanced (85% agree*) ', 'Hair feels stronger (79% agree*) ', 'Hair and   scalp feels moisturized (83% agree*) ', '*User trials on 106 women using both the Ginger Shampoo followed by the Ginger   Conditioner']"
ITEM 55311,Hair,Shampoo,Shea Butter Richly Replenishing Shampoo,Shea,31,4.51,2,"['8.4 FL OZ', '13.5 FL OZ']","['$8.25', '$12.00']","Our Shea Butter Richly Replenishing Shampoo is enriched with Community Trade shea butter from Ghana, handcrafted by women who have used shea butter to intensely nourish dry hair for generations. This gentle cleansing formula won’t leave your hair feeling stripped of moisture and it’s perfect for dry hair that is prone to damage. Treat your hair to this nutty goodness to enjoy locks that look healthier and feel richly replenished.
","['100% vegan', ' For dry, prone to damage hair', ' Leaves hair feeling intensely nourished and richly replenished*', ' Hair looks healthier and less frizzy*', ' Reduces hair breakage**', ' Nutty scent and rich texture', ' Enriched with Community Trade  Shea Butter from Ghana *Based on user trial of 103 women with Shea Butter Richly Replenishing Shampoo, Conditioner and Hair Mask.  **Based on in-vitro testing with Shea Butter Richly Replenishing Shampoo, Conditioner and Hair Mask. ']"
ITEM 55317,Hair,Conditioner,Shea Butter Richly Replenishing Conditioner,Shea,22,4.95,1,['8.4 FL OZ'],['$8.25'],"Our Shea Butter Richly Replenishing Conditioner is enriched with Community Trade shea butter from Ghana, handcrafted by women who have used shea butter to intensely nourish dry hair for generations. Use on dry, prone to damage hair to improve manageability and help detangling. Give your hair the love it deserves and enjoy locks that feel healthier and richly replenished.
","['100% vegetarian', ' For dry, prone to damage hair', ' Leaves hair feeling intensely nourished and richly replenished*', ' Hair looks healthier and less frizzy*', ' Reduces hair breakage**', ' Nutty scent and rich, creamy texture', ' Enriched with Community Trade  Shea Butter from Ghana *Based on user trial of 103 women with Shea Butter Richly Replenishing Shampoo, Conditioner and Hair Mask.**Based on in-vitro testing with Shea Butter Richly Replenishing Shampoo, Conditioner and Hair Mask.']"
ITEM 58758,Hair,Treatments,Shea Butter Richly Replenishing Hair Mask,Shea,42,4.8,1,['12.4 Ounce'],['$13.50'],"Our Shea Butter Richly Replenishing Hair Mask is enriched with Community Trade Shea butter from Ghana, handcrafted by women who have used Shea butter to intensely nourish dry hair for generations. Take care of breakage with this blend of the finest ingredients from across the globe. Use weekly on dry, prone to damage hair to reveal locks that feel healthier and softer.","['100% vegetarian', 'For dry, prone to damage hair', 'Sulfate & Silicone Free', 'Nutty scent and rich, creamy texture', 'Enriched with Community Trade  Shea Butter and  Cocoa Butter from Ghana,  Organic Virgin Coconut Oil from Samoa and  Organic Olive Oil from Italy ', 'Leaves hair feeling intensely nourished and richly replenished*', 'Hair looks healthier and less frizzy*', 'Reduces hair breakage***Based on user trial of 103 women with Shea Butter Richly Replenishing Shampoo, Conditioner and Hair Mask.**Based on in-vitro testing with Shea Butter Richly Replenishing Shampoo, Conditioner and Hair Mask.']"
ITEM 78300,Hair,Shampoo,Ginger Scalp Care Shampoo,Honey,440,4.77,3,"['8.4 FL OZ', '2 FL OZ', '13.5 FL OZ']","['$8.25', '$4.50', '$12.00']","Blended with potent ginger from Sri Lanka, birch bark, white willow extracts and Community Trade honey, our iconic scalp care shampoo gently removes loose flakes and soothes the scalp.","['Pairs perfectly with our Ginger Conditioner', 'Shampoo for dry, flaky scalps ', 'Iconic, our best-selling shampoo', 'Enriched with ginger from Sri Lanka and Community Trade  honey from Ethiopia ', '100% vegetarian shampoo ', 'Scalp looks and feels healthier (85% agree*) ', 'Scalp feels soothed and rebalanced (85% agree*) ', 'Hair feels stronger (79% agree*)', 'Hair and scalp feels moisturized (83% agree*) ', '*User trials on 106 women using both the Ginger Shampoo followed by the Ginger Conditioner']"
ITEM 91658,Hair,Shampoo,Banana Truly Nourishing Shampoo,Banana,144,4.55,3,"['2 FL OZ', '8.4 FL OZ', '13.5 FL OZ']","['$4.50', '$8.25', '$12.00']","Enriched with deliciously ripe Community Trade banana puree from Ecuador, this truly nourishing organic shampoo gently cleans your hair leaving it soft, smooth and drenched in an uplifting, tropical scent.","['For normal hair to dry hair', ' Best shampoo to treat dry hair from The Body Shop', ' Leaves hair nourished, fragrant and feeling softer', ' From our banana haircare collection', ' Enriched with Community Trade organic banana puree from Ecuador ', '100% vegetarian shampoo ', 'Silicone free shampoo']"
ITEM 81952,Hair,Shampoo,Strawberry Clearly Glossing Shampoo,Aloe Vera,56,4.53,3,"['8.4 FL OZ', '13.5 FL OZ', '2 FL OZ']","['$8.25', '$12.00', '$4.50']","Feed dull hair with our Strawberry Clearly Glossing Shampoo. Enriched with mouth-watering Italian strawberries, the silicone-free, 100% vegan formula adds shine and helps detangle for soft, sweet-smelling locks all day long. ","['Shampoo for dull hair', 'Leaves hair full of shine', 'Pairs perfectly with our Strawberry Clearly Glossing Conditioner ', 'Enriched with Italian strawberries and Community Trade  aloe vera  from Mexico', '100% vegan shampoo', 'Silicone free shampoo']"
ITEM 81951,Hair,Conditioner,Strawberry Clearly Glossing Conditioner,Aloe Vera,27,4.59,2,"['8.4 FL OZ', '2 FL OZ']","['$8.25', '$4.50']","Revive dull hair with our Strawberry Clearly Glossing Conditioner, leaving your locks smoother, shinier and smelling of fresh Italian strawberries. Formulated without silicones, this formula makes detangling easier for moisturized, delicious-smelling hair.","['Conditioner for dull hair', 'Leaves hair moisturized and full of shine', ' Enriched with Italian strawberries and Community Trade  aloe vera  from Mexico ', 'Silicone free conditioner']"
ITEM 76176,Hair,Conditioner,Banana Truly Nourishing Conditioner,Banana,117,4.65,2,"['2 FL OZ', '8.45 FL OZ']","['$4.50', '$8.25']","Enriched with deliciously ripe Community Trade organic banana puree from Ecuador, this delightfully fragrant conditioner deeply nourishes hair and leaves it feeling softer, looking shinier and infused with a tropical scent.","['Conditioner for normal hair to dry hair', ' Perfectly partnered with our  Banana Truly Nourishing Shampoo ', 'Leaves hair nourished, fragrant, feeling softer and looking shinier ', ' Enriched with Community Trade  organic banana  puree from Ecuador', '100% vegetarian conditioner', ' Silicone free conditioner']"
ITEM 78537,Hair,Shampoo,Fuji Green Tea™ Refreshingly Purifying Shampoo,Green Tea,53,4.54,3,"['8.4 FL OZ', '13.5 FL OZ', '2 FL OZ']","['$8.25', '$12.00', '$4.50']","Enriched with revitalizing Japanese green tea, our refreshing shampoo cleanses and removes impurities, basking your hair and scalp in an invigoratingly fresh feeling.","['Shampoo for normal hair', 'Pairs perfectly with our  Fuji Green Tea™ Refreshingly Hydrating Conditioner ', 'Refreshes and purifies the hair and scalp ', 'Enriched with Japanese  green tea and Community Trade  honey from Ethiopia', '100% vegetarian shampoo', 'Formulated without colorants', 'Silicone free shampoo']"
ITEM 96495,Hair,Treatments,Banana Truly Nourishing Hair Mask,Banana,118,4.65,1,['8.12 FL OZ'],['$13.50'],"Featuring a delicious blend of Community Trade natural and organic ingredients, including banana puree from Ecuador and brazil nut oil from Peru. Enriched with Brazilian cupuaçu, this 100% vegan, once-a-week treatment leaves hair feeling intensely nourished from root-to-tip and infused with a tropical scent. Locks look less frizzy and instantly shinier, all without weighing them down.","['Weekly ritual for normal hair to dry hair', 'Complete the haircare routine with  Banana Truly Nourishing Shampoo  and  Conditioner ', 'Perfect hair mask for damaged hair', 'Leaves hair intensely nourished and instantly shinier', 'Enriched with Community Trade  banana puree from Ecuador and Community Trade  brazil nut oil  from Peru', '100% vegan hair mask', 'Silicone free hair mask']"
ITEM 94693,Hair,Treatments,Grapeseed Hair Serum,NA,141,4.7,1,['2.5 FL OZ'],['$9.00'],"Smooth your hair and increase the shine with this glossy serum. Apply a small amount through your hair, for the best results.","['Hair serum', 'Adds gloss', 'Easily washed out', 'For dull, frizz prone hair', 'Contains grapeseed extract Community Trade  sesame seed oil ']"
ITEM 63189,Hair,Conditioner,Fuji Green Tea™ Refreshingly Hydrating Conditioner,Green Tea,25,4.64,2,"['2 FL OZ', '8.5 FL OZ']","['$4.50', '$8.25']","Enriched with revitalizing Japanese green tea, our lightweight conditioner hydrates and basks your hair in an invigoratingly fresh feeling.","['Conditioner for normal hair', ' Perfectly partnered with our Fuji Green Tea™ Refreshingly  Purifying Shampoo ', 'Refreshes and hydrates the hair and scalp', 'Enriched with Japanese green tea and Community Trade honey from Ethiopia', '100% vegetarian conditioner', 'Silicone free conditioner']"
ITEM 96065,Hair,Brushes and Combs,Large Bamboo Hairbrush,NA,73,4.43,1,['1 Piece'],['$9.00'],"Keep your hair smooth and tangle-free with our must-have Large Bamboo Hairbrush. The pins help stimulate the scalp and distribute natural oils, for healthy hair that shines.","['Paddle hairbrush', 'Bamboo brush', 'Large size', 'Massages the scalp', 'Grooms and detangles hair', 'Ideal for all hair types', 'Use after applying one of our leave-in  hair oils for better results']"
ITEM 96111,Hair,Treatments,Coconut Oil Brilliantly Nourishing Pre-Shampoo Hair Oil,Coconut,28,4.5,1,['6.7 FL OZ'],['$7.50'],"Featuring a blend of Community Trade organic virgin coconut oil from Samoa and soya oil from Brazil. Enriched with Brazilian pracaxi oil, our 100% vegan, deliciously-scented treatment can be used before your haircare ritual, left on overnight or massaged into dry ends, making locks look stronger, smoother and softer. 

Whatever your hair type, this flexible treatment can be either:","['Nourishing coconut hair oil ', 'Massaged into hair at least five minutes before cleansing.', 'Left on as an overnight treatment and washed out in the morning.', 'Or applied onto clean hair to nourish dry ends. ', ' Enriched with community trade  Coconut Oil from Samoa']"
ITEM 95460,Hair,Brushes and Combs,Mini Bamboo Hairbrush,NA,25,4.6,1,['1 Piece'],['$3.75'],"Our Mini Bamboo Hairbrush is a handbag sized hairbrush ideal for effortless, on the go styling. Smooth and groom your hair while massaging your scalp.","['Bamboo hairbrush', 'Mini hairbrush', 'Massages the scalp', ' Detangles and grooms  hair ', 'Handbag-sized, perfect for travel', ' Use after applying one of our leave-in  hair oils for better results']"
ITEM 94367,Body,Body Wash,Arber Hair and Body Wash,NA,32,4.81,1,['6.75 FL OZ'],['$10.50'],"This head-to-toe body wash for men leaves skin clean, fresh and gently scented.","['2-in-1 Hair & Body Wash ', ' Enriched with community trade  Camomile from England', 'Check out the entire  Arber collection']"
ITEM 96924,Body,body and massage oils,Wild Argan Oil Radiant Oil for Body and Hair,Wild Argan,111,4.46,1,['4.2 FL OZ'],['$18.75'],Glow with the rich radiance of Community Trade wild argan oil from Morocco for body and hair,"['Luxurious rich, dry oil', 'Satin touch radiance', 'For body and hair', 'Enriched with Community Trade Wild Argan Oil']"
ITEM 94544,Body,body and massage oils,Moringa Nourishing Dry Oil For Body and Hair,Moringa,42,4.76,1,['3.3 FL OZ'],['$10.50'],"This fresh-floral scented dry oil will leave your skin feeling silky soft with every use. Use on your body and hair for perfectly hydrated, nourished results.","['Beautifying dry oil', 'Moisturizes, smoothes & illuminates skin', 'Highly nourishing', 'Lightweight & easily absorbed', ' Enriched with community trade  Kukui Oil from Hawaii', ' Enriched with community trade  Marula from Namibia']"
ITEM 94535,Body,Body Wash,Kistna Hair and Body Wash,NA,26,4.57,1,['6.75 FL OZ'],['$10.50'],"Best if he wants to: Cleanse and condition his body and hair every day with a 2-in-1, invigorating gel that has a fresh, naturally-inspired fragrance.","['Hair & Body Wash', ' 2-in-1 ', ' Fresh fragrance', ' Enriched with community trade  Camomile from England']"
ITEM 94366,Body,Body Wash,White Musk® Sport Hair and Body Wash,Honey,12,4.66,1,['6.7 FL OZ'],['$10.50'],"This all-over wash cleanses hair as well as skin, leaving the body with gentle, zesty, citrus scent and a hint of warmth. Layer with other White Musk® Sport products to build the fragrance.","['Body wash', 'Iconic  White Musk® scent  ', 'Cruelty-free musk']"
ITEM 26989,Hair,Brushes and Combs,Detangling Comb,NA,70,4.37,1,['1 Piece'],['$5.25'],"Effortlessly detangle wet or dry hair, with our wide tooth comb. The perfect tool for distributing product through your hair with ease.","['Wide Tooth Comb', 'Detangles', '13cm x 5cm', 'For use on wet and dry hair', 'Ideal for all hair types', 'Use together with Rainforest Radiance  Detangling Spray for better result']"
ITEM 94601,Body,body and massage oils,Shea Nourishing Dry Oil For Body and Hair,Shea,70,4.61,1,['3.3 FL OZ'],['$10.50'],"Moisturize, smooth and illuminate your skin with our delightfully scented product. Our beautifying dry oil contains a blend of highly nourishing marula oil, kukui and sweet almond oil leaves your skin and hair feeling highly nourished. ","['Beautifying dry oil', 'Moisturizes, smoothes & illuminates skin', 'Highly nourishing', 'Lightweight & easily absorbed ', 'Community Trade marula oil from Namibia', ' Enriched with community trade  Kukui Oil from Hawaii', ' Enriched with community trade  Shea from Ghana']"
ITEM 96939,Hair,Brushes and Combs,Styling Hairbrush,NA,8,4.87,1,['1 Piece'],['$7.50'],"Detangle, flick, lift and volumize as you blow-dry with our Styling Hairbrush. Close-set pins effectively grip and control hair while gently stimulating the scalp. Regular brushing distributes the hair’s natural oils from root to tip.","['Styling  Hairbrush ', 'Blow-dry brush', 'For all hair types', ' Apply one of our  hair treatments to protect hair before styling']"
ITEM 97106,Body,Accessories,Nail Polishing Block,NA,33,4.54,1,['1 Piece'],['$3.75'],"Polish your nails perfectly, with this nail polishing block. This multitasking tool smoothes ridges, files, buffs and polishes for a manicured salon-perfect finish.","['Nail block', 'Four sides', 'Files, smoothes, buffs and polishes']"
ITEM 28885,Makeup,View All Nails,Gentle Nail File,NA,0,0.00E+00,1,['1 Piece'],['$6.00'],"Give your nails a perfectly groomed look with our Gentle Nail Filer. This easy to clean, elegant looking acrylic file is a must-have accessory for keeping your nails looking perfect on the go.","['Acrylic nail file.', 'Comes in a protective case.', 'Easy to clean.']"
ITEM 94700,Makeup,Hand and Nail Care,Almond Nail and Cuticle Oil,Shea,91,4.35,1,['0.06 FL OZ'],['$9.00'],Soothe and care for your nails and cuticles with our handy two-in-one pen. Almond Nail and Cuticle Oil is a rich and effective oil that contains sweet almond oil to soften and maintain healthy-looking cuticles.,"['Nail & cuticle oil', 'Conditions nails and cuticles', 'Expert care for hands and nails', 'A manicure must have', 'Sweet almond oil', 'Community Trade shea butter from Tamale, Ghana']"
ITEM 96938,Makeup,Nail Tools,Wooden Nail Brush,NA,22,4.72,1,['1 Piece'],['$3.75'],"Keep your nails perfectly clean with the help of our Wooden Nail Brush, ergonomically designed to be held and used with ease.","['Nail brush', 'Ergonomic design', 'Wooden']"
ITEM 61437,Makeup,Makeup Tools,Silicone Brush Cleaner,NA,3,2.66,1,['1 Piece'],['$3.75'],"Keep your expert make-up brushes in tip-top condition with this nifty little silicone brush cleaner. The clever ridged design is ideal for banishing excess residue and maintaining the softness and shape of your make-up brushes. Simply pop on your finger, add cleaning fluid and brush in the direction of your brush fibres.","['Small silicone make-up brush cleaner', 'For use on all make-up brush sizes', 'Featuring ridges in two sizes', 'Pop on your finger and brush away', ' Try with any of our make-up brushes  ']"
ITEM 77766,Makeup,Makeup Tools,Blending Sponge,NA,6,4.33,1,['1 Piece'],['$6.00'],"No longer fear make-up streaks or lines with our new, multi-tasking Blending Sponge. The spongy material and smooth shape ensures effortless blending and access to all areas. Use with our new Matte Clay Foundation for a flawless finish.","['Effortless, streak-free coverage', 'Easy wash material']"
